"UBIGEO","DEPARTAMENTO","PROVINCIA","DISTRITO","lat","lon"
10101,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS",-6.3718272,-77.8093378
10102,"AMAZONAS","CHACHAPOYAS","ASUNCION",-5.9950059,-77.7544069
10103,"AMAZONAS","CHACHAPOYAS","BALSAS",-6.8355968,-78.018516
10104,"AMAZONAS","CHACHAPOYAS","CHETO",-6.2553433,-77.7005901
10105,"AMAZONAS","CHACHAPOYAS","CHILIQUIN",-6.0781182,-77.7376056
10106,"AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA",-6.9347224,-77.8546995
10107,"AMAZONAS","CHACHAPOYAS","GRANADA",-6.1066744,-77.6282412
10108,"AMAZONAS","CHACHAPOYAS","HUANCAS",-6.1562406,-77.8828797
10109,"AMAZONAS","CHACHAPOYAS","LA JALCA",-6.4845144,-77.8154878
10110,"AMAZONAS","CHACHAPOYAS","LEIMEBAMBA",-6.7079646,-77.8043876
10111,"AMAZONAS","CHACHAPOYAS","LEVANTO",-6.3082358,-77.899056
10112,"AMAZONAS","CHACHAPOYAS","MAGDALENA",-6.3726216,-77.901915
10113,"AMAZONAS","CHACHAPOYAS","MARISCAL CASTILLA",-6.5823766,-77.7698162
10114,"AMAZONAS","CHACHAPOYAS","MOLINOPAMPA",-6.208833,-77.6692964
10115,"AMAZONAS","CHACHAPOYAS","MONTEVIDEO",-6.6182405,-77.8024123
10116,"AMAZONAS","CHACHAPOYAS","OLLEROS",-6.0025798,-77.6766833
10117,"AMAZONAS","CHACHAPOYAS","QUINJALCA",-6.0916439,-77.6786518
10118,"AMAZONAS","CHACHAPOYAS","SAN FRANCISCO DE",-6.6493528,-77.8123587
10119,"AMAZONAS","CHACHAPOYAS","SAN ISIDRO DE MAINO",-6.3494721,-77.8387903
10120,"AMAZONAS","CHACHAPOYAS","SOLOCO",-6.2603269,-77.7447758
10121,"AMAZONAS","CHACHAPOYAS","SONCHE",-6.1742436,-77.7879257
10201,"AMAZONAS","BAGUA","BAGUA",-5.6390867,-78.5317246
10202,"AMAZONAS","BAGUA","ARAMANGO",-5.4166377,-78.4380835
10203,"AMAZONAS","BAGUA","COPALLIN",-5.6748583,-78.4229173
10204,"AMAZONAS","BAGUA","EL PARCO",-5.6251674,-78.4756715
10205,"AMAZONAS","BAGUA","IMAZA",-4.9924016,-78.3829771
10206,"AMAZONAS","BAGUA","LA PECA",-5.6122226,-78.4373718
10301,"AMAZONAS","BONGARA","JUMBILLA",-5.9037734,-77.7998682
10302,"AMAZONAS","BONGARA","CHISQUILLA",-5.8977876,-77.7860649
10303,"AMAZONAS","BONGARA","CHURUJA",-6.0195979,-77.9521645
10304,"AMAZONAS","BONGARA","COROSHA",-5.8227256,-77.8023293
10305,"AMAZONAS","BONGARA","CUISPES",-5.928203,-77.9458603
10306,"AMAZONAS","BONGARA","FLORIDA",-5.8152881,-77.9716327
10307,"AMAZONAS","BONGARA","JAZAN",-5.9406895,-78.0214318
10308,"AMAZONAS","BONGARA","RECTA",-5.9175447,-77.7888799
10309,"AMAZONAS","BONGARA","SAN CARLOS",-5.966021,-77.9454741
10310,"AMAZONAS","BONGARA","SHIPASBAMBA",-5.9099591,-77.9808638
10311,"AMAZONAS","BONGARA","VALERA",-6.0425734,-77.9192897
10312,"AMAZONAS","BONGARA","YAMBRASBAMBA",-5.4705271,-77.8483829
10401,"AMAZONAS","CONDORCANQUI","NIEVA",-4.8986276,-77.953714
10402,"AMAZONAS","CONDORCANQUI","EL CENEPA",-4.0445016,-78.3559023
